S1,S2,S3
0.0010080645161290322,0.00027901785714285713,0.0001408503605769231
6.768464370803551e-05,0.0009300595238095238,0.0014935661764705884
3.858024691358024e-05,0.0008042279411764705,0.0008755387931034483
0.0009251644736842105,0.001201923076923077,2.9077024328249816e-05
0.0013020833333333333,5.674788473818645e-05,0.0005744485294117647
0.0006167763157894736,3.3976921997755326e-05,0.0009114583333333333
0.0008789062499999999,0.0010416666666666667,8.510348583877993e-05
0.0006277901785714285,4.747178819444444e-05,0.0008370535714285715
1.4522394079685743e-05,0.0008370535714285714,0.0010850694444444445
0.0009765625,0.0009765625,0.0010516826923076925
0.00091552734375,0.0005580357142857143,0.0007195723684210526
0.000244140625,0.0009251644736842105,0.00048828125
0.001255580357142857,0.00146484375,0.00146484375
0.0010775862068965517,0.001209077380952381,0.0007672991071428571
0.0009765625,0.001065340909090909,0.00048828125
0.001023065476190476,0.0010850694444444445,0.00126953125
0.00048828125,0.0010029560810810812,0.00103759765625
